Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
Mike Scott,73.0,170.0,341.0,55.0,110.0,113.0,82.0,89.0,8.0,74.0,0.677,0.286,0.389,1.9,0.5,1.3,16.4,-999.0,0.489,6.2,2.0,1.6181818181818182,0.14545454545454545,1.3454545454545455,3.545454545454546
Al Horford,82.0,245.0,1123.0,109.0,187.0,610.0,254.0,173.0,189.0,94.0,0.619,,0.586,17.1,7.0,10.0,18.6,-999.0,0.601,10.302752293577981,1.7155963302752293,1.5871559633027523,1.7339449541284404,0.8623853211009175,7.9266055045871555
Matisse Thybulle,77.0,195.0,1242.0,135.0,276.0,296.0,119.0,252.0,185.0,331.0,0.782,0.358,0.429,11.1,4.4,6.7,17.0,7.0,0.55,9.2,2.0444444444444443,1.8666666666666667,1.3703703703703705,2.4518518518518517,3.0740740740740744
Ben Simmons,82.0,225.0,632.0,33.0,158.0,285.0,103.0,111.0,27.0,65.0,0.67,0.333,0.56,6.0,3.9,2.1,26.4,10.3,0.6,19.151515151515152,4.787878787878788,3.3636363636363638,0.8181818181818182,1.9696969696969697,11.757575757575758
Josh Richardson,0.0,215.0,170.0,28.0,15.0,46.0,33.0,29.0,4.0,15.0,0.56,0.0,0.445,-0.1,0.2,-0.2,-999.0,-999.0,0.484,6.071428571428571,0.5357142857142857,1.0357142857142858,0.14285714285714285,0.5357142857142857,2.821428571428571
Joel Embiid,84.0,250.0,313.0,28.0,38.0,162.0,65.0,66.0,72.0,25.0,0.685,0.2,0.626,3.4,1.8,1.7,23.4,11.9,0.655,11.178571428571429,1.3571428571428572,2.357142857142857,2.5714285714285716,0.8928571428571429,8.107142857142858
Kyle O'Quinn,82.0,240.0,1607.0,129.0,122.0,760.0,332.0,262.0,283.0,69.0,0.685,0.261,0.553,15.7,9.4,6.3,23.0,4.3,0.602,12.457364341085272,0.9457364341085271,2.0310077519379846,2.193798449612403,0.5348837209302325,8.465116279069768
Glenn Robinson III,79.0,225.0,1706.0,62.0,115.0,-999.0,-999.0,242.0,65.0,113.0,0.773,0.385,0.479,-999.0,-999.0,-999.0,-999.0,-999.0,0.566,27.516129032258064,1.8548387096774193,3.903225806451613,1.0483870967741935,1.8225806451612903,-32.225806451612904
Alec Burks,78.0,195.0,1291.0,68.0,165.0,248.0,149.0,157.0,24.0,76.0,0.804,0.313,0.495,10.8,9.2,1.6,30.0,8.1,0.592,18.985294117647058,2.426470588235294,2.3088235294117645,0.35294117647058826,1.1176470588235294,5.838235294117647
Zhaire Smith,77.0,195.0,417.0,37.0,66.0,102.0,83.0,41.0,42.0,42.0,0.717,0.45,0.556,5.6,3.3,2.2,18.3,10.8,0.618,11.27027027027027,1.7837837837837838,1.1081081081081081,1.135135135135135,1.135135135135135,5.0
Ryan Broekhoff,79.0,215.0,1591.0,134.0,246.0,652.0,189.0,186.0,100.0,129.0,0.818,0.408,0.464,18.6,12.6,6.0,21.5,8.3,0.619,11.873134328358208,1.835820895522388,1.3880597014925373,0.746268656716418,0.9626865671641791,6.276119402985075
Mikal Bridges,79.0,191.0,1311.0,116.0,183.0,373.0,131.0,124.0,101.0,163.0,0.845,0.4,0.525,17.2,10.5,6.7,18.3,11.5,0.656,11.301724137931034,1.5775862068965518,1.0689655172413792,0.8706896551724138,1.4051724137931034,4.344827586206897
Devin Booker,80.0,250.0,1154.0,128.0,99.0,461.0,267.0,199.0,83.0,80.0,0.658,0.275,0.496,11.1,5.5,5.6,21.8,3.0,0.538,9.015625,0.7734375,1.5546875,0.6484375,0.625,5.6875
Kelly Oubre Jr.,79.0,200.0,333.0,36.0,28.0,138.0,41.0,43.0,13.0,41.0,0.718,0.358,0.444,3.4,1.7,1.7,23.1,8.8,0.555,9.25,0.7777777777777778,1.1944444444444444,0.3611111111111111,1.1388888888888888,4.972222222222222
Jevon Carter,74.0,185.0,1758.0,144.0,559.0,407.0,131.0,264.0,34.0,330.0,0.798,0.355,0.407,19.8,10.4,9.4,21.0,9.9,0.534,12.208333333333334,3.8819444444444446,1.8333333333333333,0.2361111111111111,2.2916666666666665,3.736111111111111
Cameron Johnson,79.0,215.0,1192.0,118.0,82.0,393.0,245.0,238.0,55.0,106.0,0.611,,0.464,6.4,2.2,4.3,26.8,-4.2,0.501,10.101694915254237,0.6949152542372882,2.016949152542373,0.4661016949152542,0.8983050847457628,5.406779661016949
Cheick Diallo,81.0,218.0,81.0,27.0,1.0,51.0,17.0,17.0,23.0,7.0,0.556,-999.0,0.569,0.8,0.2,0.6,21.7,3.7,0.572,3.0,0.037037037037037035,0.6296296296296297,0.8518518518518519,0.25925925925925924,2.5185185185185186
Aron Baynes,82.0,250.0,1064.0,122.0,37.0,445.0,208.0,152.0,93.0,41.0,0.698,,0.546,14.3,7.1,7.2,23.2,-999.0,0.585,8.721311475409836,0.30327868852459017,1.2459016393442623,0.7622950819672131,0.3360655737704918,5.352459016393443
Frank Kaminsky,84.0,242.0,1458.0,144.0,188.0,484.0,182.0,121.0,153.0,77.0,0.763,0.369,0.522,19.1,12.8,6.3,25.5,13.0,0.609,10.125,1.3055555555555556,0.8402777777777778,1.0625,0.5347222222222222,4.625
Deandre Ayton,85.0,250.0,704.0,35.0,57.0,287.0,118.0,69.0,66.0,20.0,0.733,0.343,0.612,7.6,5.5,2.1,26.6,11.0,0.65,20.114285714285714,1.6285714285714286,1.9714285714285715,1.8857142857142857,0.5714285714285714,11.571428571428571
Ty Jerome,77.0,195.0,1011.0,105.0,384.0,289.0,29.0,145.0,4.0,127.0,0.788,0.392,0.435,13.7,7.0,6.7,21.9,9.5,0.558,9.628571428571428,3.657142857142857,1.380952380952381,0.0380952380952381,1.2095238095238094,3.0285714285714285
Tariq Owens,82.0,205.0,808.0,131.0,63.0,404.0,206.0,120.0,268.0,62.0,0.725,,0.533,10.0,4.4,5.6,14.9,5.0,0.58,6.1679389312977095,0.48091603053435117,0.916030534351145,2.045801526717557,0.4732824427480916,4.65648854961832
